Date,Open,High,Low,Close,Adj Close,Volume
2022-06-10,9.98,10.01,9.98,9.99,9.99,2505828
2022-06-13,10.0,10.15,9.94,9.96,9.96,1938248
2022-06-14,10.0,10.0,9.95,9.96,9.96,489354
2022-06-15,9.98,9.9901,9.97,9.98,9.98,169854
2022-06-16,9.98,10.0,9.98,10.0,10.0,77998
2022-06-17,10.0,10.0,9.99,9.99,9.99,38571
2022-06-21,10.0,10.0,9.97,9.98,9.98,100618
2022-06-22,9.98,9.98,9.98,9.98,9.98,832
2022-06-23,9.98,9.98,9.98,9.98,9.98,0
2022-06-24,9.98,9.98,9.98,9.98,9.98,0
2022-06-27,9.98,9.98,9.98,9.98,9.98,0
2022-06-28,9.98,9.98,9.98,9.98,9.98,226
2022-06-29,9.98,9.98,9.98,9.98,9.98,7109
2022-06-30,10.0,10.0,9.98,10.0,10.0,47619
2022-07-01,10.0,10.0,10.0,10.0,10.0,282
2022-07-05,10.0,10.0,10.0,10.0,10.0,0
2022-07-06,10.0,10.01,10.0,10.01,10.01,78611
2022-07-07,10.0,10.0,10.0,10.0,10.0,3503
2022-07-08,10.0,10.0,10.0,10.0,10.0,0
2022-07-11,10.0,10.0,10.0,10.0,10.0,0
2022-07-12,10.0,10.0,10.0,10.0,10.0,0
2022-07-13,10.01,10.04,10.0,10.04,10.04,3796
2022-07-14,10.04,10.04,9.95,9.96,9.96,1364
2022-07-15,9.95,9.95,9.95,9.95,9.95,108
2022-07-18,9.95,9.95,9.95,9.95,9.95,0
2022-07-19,9.95,9.95,9.95,9.95,9.95,0
2022-07-20,9.99,9.99,9.99,9.99,9.99,201
2022-07-21,9.99,9.99,9.98,9.98,9.98,2280
2022-07-22,9.98,9.98,9.98,9.98,9.98,0
2022-07-25,9.98,9.98,9.98,9.98,9.98,0
2022-07-26,10.02,10.02,10.02,10.02,10.02,600
2022-07-27,10.02,10.02,10.02,10.02,10.02,0
2022-07-28,10.02,10.02,10.02,10.02,10.02,0
2022-07-29,10.02,10.02,10.02,10.02,10.02,0
2022-08-01,10.02,10.02,10.02,10.02,10.02,0
2022-08-02,10.02,10.02,10.02,10.02,10.02,2100
2022-08-03,10.02,10.02,10.02,10.02,10.02,0
2022-08-04,10.02,10.02,10.02,10.02,10.02,0
2022-08-05,10.0,10.0,10.0,10.0,10.0,925
2022-08-08,10.0,10.0,10.0,10.0,10.0,0
2022-08-09,10.0,10.0,10.0,10.0,10.0,0
2022-08-10,10.0,10.0,10.0,10.0,10.0,0
2022-08-11,10.0,10.0,10.0,10.0,10.0,0
